Is Dead,Accession Number,Catalogue Number,Accepted Name,TaxonomicName,Genus,Family,Provenance Code,Legacy Provenance Code,Country ISO,Last Seen On,source_file,Accession Date,StandardDateISO,Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
ALIVE,1977-2803,K:LCD-1977-2803*1,Dorstenia bahiensis,Dorstenia bahiensis,Dorstenia,Moraceae,,,,10-01-2025,TropicalNursery_Simplified.xlsx,1977,1977-01-01,BestMatch,9.41215,Exact,0,Dorstenia bahiensis,Dorstenia bahiensis Klotzsch,Dorstenia bahiensis,6DG8T,Dorstenia bahiensis Klotzsch,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Rosales|Moraceae|Dorstenia|Dorstenia bahiensis,
ALIVE,2009-126,K:LCD-2009-126*1,Aristolochia albida,Aristolochia albida,Aristolochia,Aristolochiaceae,,N - Natural Source and Progeny,Madagascar,16-06-2023,TropicalNursery_Simplified.xlsx,2009,2009-01-01,BestMatch,9.41215,Exact,0,Aristolochia albida,Aristolochia albida Duch.,Aristolochia albida,GPL9,Aristolochia albida Duch.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Piperales|Aristolochiaceae|Aristolochioideae|Aristolochia|Aristolochia albida,
ALIVE,1998-3140,K:LCD-1998-3140*8,Hibiscus hamabo,Hibiscus hamabo,Hibiscus,Malvaceae,,N - Natural Source and Progeny,Japan,16-12-2024,TropicalNursery_Simplified.xlsx,1998,1998-01-01,BestMatch,9.41180,Exact,0,Hibiscus hamabo,Hibiscus hamabo Siebold & Zucc.,Hibiscus hamabo,3LJTB,Talipariti hamabo (Siebold & Zucc.) Fryxell,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malvales|Malvaceae|Malvoideae|Talipariti|Talipariti hamabo,
ALIVE,1989-898,K:LCD-1989-898*2,Brugmansia arborea,Brugmansia arborea,Brugmansia,Solanaceae,,N - Natural Source and Progeny,Colombia,19-02-2024,TropicalNursery_Simplified.xlsx,1989,1989-01-01,BestMatch,9.41215,Exact,0,Brugmansia arborea,Brugmansia arborea (L.) Steud.,Brugmansia arborea,NFCN,Brugmansia arborea (L.) Steud.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Solanales|Solanaceae|Solanoideae|Brugmansia|Brugmansia arborea,
ALIVE,1981-1165,K:LCD-1981-1165*3,Ansellia africana,Ansellia africana,Ansellia,Orchidaceae,,N - Natural Source and Progeny,Kenya,06-04-2023,TropicalNursery_Simplified.xlsx,1981,1981-01-01,BestMatch,9.41215,Exact,0,Ansellia africana,Ansellia africana Lindl.,Ansellia africana,5V9X6,Ansellia africana Lindl.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Orchidaceae|Ansellia|Ansellia africana,
ALIVE,2012-456,K:LCD-2012-456*1,Dendrobium polysema,Dendrobium polysema,Dendrobium,Orchidaceae,,,,16-04-2024,TropicalNursery_Simplified.xlsx,2012,2012-01-01,BestMatch,9.41215,Exact,0,Dendrobium polysema,Dendrobium polysema Schltr.,Dendrobium polysema,34NHB,Dendrobium polysema Schltr.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Orchidaceae|Dendrobium|Dendrobium polysema,
ALIVE,1958-8111,K:LCD-1958-8111*1,Vanda suavis,Vanda tricolor var. suavis,Vanda,Orchidaceae,,,,12-10-2023,TropicalNursery_Simplified.xlsx,1958,1958-01-01,BestMatch,9.56287,Exact,0,Vanda tricolor var. suavis,Vanda tricolor var. suavis (Lindl.) Rchb.f.,Vanda tricolor var. suavis,7YZDN,Vanda suavis Lindl.,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Orchidaceae|Vanda|Vanda suavis,
ALIVE,1973-3222,K:LCD-1973-3222*1,Adromischus maximus,Adromischus maximus,Adromischus,Crassulaceae,,N - Natural Source and Progeny,South Africa,29-10-2024,TropicalNursery_Simplified.xlsx,1973,1973-01-01,BestMatch,9.41215,Exact,0,Adromischus maximus,Adromischus maximus Hutchison,Adromischus maximus,655R5,Adromischus maximus Hutchison,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Crassulaceae|Kalanchoideae|Adromischus|Adromischus maximus,
ALIVE,2002-1342,K:LCD-2002-1342*1,Scaphyglottis pulchella,Scaphyglottis pulchella,Scaphyglottis,Orchidaceae,,,,03-07-2024,TropicalNursery_Simplified.xlsx,2002,2002-01-01,BestMatch,9.41215,Exact,0,Scaphyglottis pulchella,Scaphyglottis pulchella (Schltr.) L.O.Williams,Scaphyglottis pulchella,79V7M,Scaphyglottis pulchella (Schltr.) L.O.Williams,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Orchidaceae|Scaphyglottis|Scaphyglottis pulchella,
ALIVE,2002-2846,K:LCD-2002-2846*1,Aeonium haworthii,Aeonium haworthii,Aeonium,Crassulaceae,,,,06-12-2024,TropicalNursery_Simplified.xlsx,2002,2002-01-01,BestMatch,9.41206,Exact,0,Aeonium haworthii,Aeonium haworthii Salm-Dyck ex Webb & Berthel.,Aeonium haworthii,64Y27,Aeonium haworthii Salm-Dyck ex Webb & Berthel.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Crassulaceae|Sempervivoideae|Aeonium|Aeonium haworthii,
