Is Dead;Accession Number;Catalogue Number;Accepted Name;TaxonomicName;Genus;Family;Provenance Code;Legacy Provenance Code;Country ISO;Last Seen On
ALIVE;1985-4492;K:LCD-1985-4492*2;Sageretia hamosa;Sageretia hamosa;Sageretia;Rhamnaceae;;N - Natural Source and Progeny;China;20-05-2024
ALIVE;2006-1135;K:LCD-2006-1135*1;Elegia;Elegia;Elegia;Restionaceae;;;;21-08-2023
ALIVE;1969-19809;K:LCD-1969-19809*2;Rhaphiolepis indica;Rhaphiolepis indica;Rhaphiolepis;Rosaceae;;;;02-01-2025
ALIVE;2004-881;K:LCD-2004-881*2;Kniphofia × praecox;Kniphofia × praecox;Kniphofia;Asphodelaceae;;;;20-03-2024
ALIVE;1915-28101;K:LCD-1915-28101*1;Podocarpus milanjianus;Podocarpus milanjianus;Podocarpus;Podocarpaceae;;;;23-06-2022
ALIVE;1985-780;K:LCD-1985-780*2;Baloghia inophylla;Baloghia inophylla;Baloghia;Euphorbiaceae;;N - Natural Source and Progeny;Norfolk Island;28-12-2024
ALIVE;2014-2011;K:LCD-2014-2011*2;;Brugmansia 'Fantascioso';Brugmansia;Solanaceae;;;;15-02-2024
ALIVE;1985-5457;K:LCD-1985-5457*2;Mimosa rubicaulis subsp. himalayana;Mimosa himalayana;Mimosa;Fabaceae;;N - Natural Source and Progeny;India;08-11-2023
ALIVE;1966-33604;K:LCD-1966-33604*1;Reevesia thyrsoidea;Reevesia thyrsoidea;Reevesia;Malvaceae;;;;20-01-2025
ALIVE;1984-143;K:LCD-1984-143*4;Commidendrum robustum;Commidendrum robustum;Commidendrum;Asteraceae;;N - Natural Source and Progeny;Saint Helena, Ascension, and Tristan da Cunha;03-10-2024
ALIVE;1969-3776;K:LCD-1969-3776*7;Fuchsia thymifolia subsp. minimiflora;Fuchsia thymifolia subsp. minimiflora;Fuchsia;Onagraceae;;;;19-07-2024
ALIVE;1967-68003;K:LCD-1967-68003*2;Rhododendron dendricola;Rhododendron dendricola;Rhododendron;Ericaceae;;;;21-05-2024
ALIVE;1994-2323;K:LCD-1994-2323*2;Veltheimia capensis;Veltheimia capensis;Veltheimia;Asparagaceae;;;;26-02-2024
ALIVE;1973-19870;K:LCD-1973-19870*2;Synandrospadix vermitoxicus;Synandrospadix vermitoxicus;Synandrospadix;Araceae;;;;29-07-2022
ALIVE;1937-41105;K:LCD-1937-41105*1;Encephalartos ferox;Encephalartos ferox;Encephalartos;Zamiaceae;;;;14-02-2024
ALIVE;2018-880;K:LCD-2018-880*1;Tradescantia;Tradescantia;Tradescantia;Commelinaceae;;N - Natural Source and Progeny;Vietnam;29-07-2022
