Catalogue Number;Full Name;Store Level1;Store Level2;Store Level3;Store Level4
K:LCD-2007-1198*4;Pelargonium stenopetalum;Princess of Wales Conservatory;03;HB;
K:LCD-1979-5638*1;Ludwigia repens;Princess of Wales Conservatory;01;24;
K:LCD-1993-3632*3;Zollernia glabra;Princess of Wales Conservatory;01;12;
K:LCD-2008-2086*2;Drosera macrantha;Princess of Wales Conservatory;09;01;
K:LCD-1984-2730*1;Haworthia pearsonii;Princess of Wales Conservatory;03;06;
K:LCD-2001-3651*5;Spathiphyllum 'Domino';Princess of Wales Conservatory;01;11;
K:LCD-1989-2574*2;Peperomia 'Azuay';Princess of Wales Conservatory;01;27;
K:LCD-1979-3224*2;Philodendron microstictum;Princess of Wales Conservatory;01;11;T4
K:LCD-1982-2502*2;Cynanchum;Princess of Wales Conservatory;03;22;
K:LCD-1984-2111*1;Xiphidium caeruleum;Princess of Wales Conservatory;01;07;
K:LCD-1988-3824*1;Begonia 'Brown Lake';Princess of Wales Conservatory;01;23;
K:LCD-1994-1111*4;Polypodium;Princess of Wales Conservatory;04;HB;
K:LCD-1984-2737*2;Echeveria albicans;Princess of Wales Conservatory;03;18;
K:LCD-1968-38216*2;Anthurium willdenowii;Princess of Wales Conservatory;01;10;
K:LCD-1972-6091*2;Hibiscus rosa-sinensis 'Storckii Cream';Princess of Wales Conservatory;04;03;
K:LCD-1988-3336*2;Begonia juliana;Princess of Wales Conservatory;01;23;
K:LCD-1973-13055*2;Eucharis × grandiflora;Princess of Wales Conservatory;01;10;
K:LCD-1963-16006*2;Cibotium glaucum;Princess of Wales Conservatory;04;02;
K:LCD-1998-3993*2;Selaginella biformis;Princess of Wales Conservatory;04;07;
K:LCD-1971-2405*1;Cryptanthus sinuosus × acaulis;Princess of Wales Conservatory;01;10;
K:LCD-1994-2610*1;Heliconia uxpanapensis;Princess of Wales Conservatory;01;26;
K:LCD-1962-72702*1;Chlorophytum heynei;Princess of Wales Conservatory;01;05;
K:LCD-1972-676*1;Hohenbergia augusta;Princess of Wales Conservatory;01;02;
K:LCD-1974-1438*2;Peperomia glabella;Princess of Wales Conservatory;01;27;
K:LCD-1989-1669*3;Sansevieria dooneri;Princess of Wales Conservatory;03;01;
K:LCD-1984-2115*3;Calathea loeseneri;Princess of Wales Conservatory;01;22;
K:LCD-1992-2146*2;Polypodium;Princess of Wales Conservatory;04;11;
K:LCD-1973-4427*2;Crassula setulosa var. jenkensii;Princess of Wales Conservatory;03;02;
K:LCD-1968-38218*1;Aglaonema commutatum 'Treubii';Princess of Wales Conservatory;04;03;
K:LCD-1984-5367*3;Gasteria bicolor;Princess of Wales Conservatory;03;02;
K:LCD-1992-3795*2;Aristolochia gigantea;Princess of Wales Conservatory;01;02;
K:LCD-1973-13784*3;Lygodium japonicum;Princess of Wales Conservatory;01;21;
K:LCD-1947-29913*1;Aloidendron barberae;Princess of Wales Conservatory;03;21;
K:LCD-1988-3340*2;Begonia 'Burle Marx';Princess of Wales Conservatory;01;23;
K:LCD-1958-56202*2;Phlebodium aureum;Princess of Wales Conservatory;04;03;
K:LCD-2000-4183*1;Platycerium bifurcatum;Princess of Wales Conservatory;04;12;
K:LCD-1973-13745*4;Pyrrosia heteractis;Princess of Wales Conservatory;05;02;
K:LCD-1984-3839*2;Drosera capensis;Princess of Wales Conservatory;09;01;
K:LCD-2004-2571*4;Pelargonium 'Chocolate Peppermint';Princess of Wales Conservatory;03;HB;
K:LCD-1979-3590*2;Pitcairnia fuertesii;Princess of Wales Conservatory;01;11;
K:LCD-1979-189*1;Begonia scabrida;Princess of Wales Conservatory;01;23;
K:LCD-1947-52511*1;Haworthia reinwardtii var. adelaidensis;Princess of Wales Conservatory;03;01;
K:LCD-1980-2963*1;Pelargonium carnosum;Princess of Wales Conservatory;03;11;
K:LCD-2007-1192*2;Pelargonium frutetorum;Princess of Wales Conservatory;03;09;
