"Accepted.Name","Is.Dead","Accession.Number","Catalogue.Number","TaxonomicName","Genus","Family","Provenance.Code","Legacy.Provenance.Code","Country.ISO","Last.Seen.On","target"
"Barnadesia caryophylla","ALIVE","1945-21101","K:LCD-1945-21101*6","Barnadesia caryophylla","Barnadesia","Asteraceae",NA,"","","24-05-2024","genus"
"Barnadesia caryophylla","ALIVE","1945-21101","K:LCD-1945-21101*5","Barnadesia caryophylla","Barnadesia","Asteraceae",NA,"","","24-05-2024","genus"
"Barnadesia caryophylla","ALIVE","1945-21101","K:LCD-1945-21101*3","Barnadesia caryophylla","Barnadesia","Asteraceae",NA,"","","19-02-2024","genus"
"Barnadesia caryophylla","ALIVE","1945-21101","K:LCD-1945-21101*7","Barnadesia caryophylla","Barnadesia","Asteraceae",NA,"","","24-05-2024","genus"
"Barringtonia acutangula","ALIVE","2021-939","K:LCD-2021-939*2","Barringtonia acutangula","Barringtonia","Lecythidaceae","","N - Natural Source and Progeny","Australia","17-06-2025","genus"
"Barringtonia edulis","ALIVE","2017-2420","K:LCD-2017-2420*1","Barringtonia edulis","Barringtonia","Lecythidaceae","","","China","27-08-2024","genus"
"Barringtonia pauciflora","ALIVE","2014-2291","K:LCD-2014-2291*3","Barringtonia pauciflora","Barringtonia","Lecythidaceae","","","","17-06-2025","genus"
"Barringtonia pauciflora","ALIVE","2014-2291","K:LCD-2014-2291*1","Barringtonia pauciflora","Barringtonia","Lecythidaceae","","","","17-06-2025","genus"
"Benthamia flavida","ALIVE","2016-1392","K:LCD-2016-1392*1","Benthamia flavida","Benthamia","Orchidaceae","","N - Natural Source and Progeny","Madagascar","11-09-2023","genus"
"Bersama lucens","ALIVE","1973-12963","K:LCD-1973-12963*2","Bersama lucens","Bersama","Francoaceae",NA,"","","21-02-2024","genus"
"Bersama lucens","ALIVE","1973-12963","K:LCD-1973-12963*3","Bersama lucens","Bersama","Francoaceae","","","","05-12-2024","genus"
"Bertholletia excelsa","ALIVE","2019-2865","K:LCD-2019-2865*1","Bertholletia excelsa","Bertholletia","Lecythidaceae","","","","22-12-2023","genus"
"Bertiera zaluzania","ALIVE","2010-1953","K:LCD-2010-1953*1","Bertiera zaluzania","Bertiera","Rubiaceae","","N - Natural Source and Progeny","","15-03-2023","genus"
"Blossfeldia liliputana","ALIVE","2011-1471","K:LCD-2011-1471*1","Blossfeldia liliputana","Blossfeldia","Cactaceae","","","","16-02-2024","genus"
"Blossfeldia liliputana","ALIVE","2024-1722","K:LCD-2024-1722*1","Blossfeldia liliputana","Blossfeldia","Cactaceae","","","","15-10-2024","genus"
"Bombax buonopozense","ALIVE","2020-1017","K:LCD-2020-1017*1","Bombax buonopozense","Bombax","Malvaceae","","N - Natural Source and Progeny","Ghana","13-02-2024","genus"
"Bonatea speciosa","ALIVE","2022-1740","K:LCD-2022-1740*1","Bonatea speciosa","Bonatea","Orchidaceae","","","","13-03-2023","genus"
"Bonellia macrocarpa","ALIVE","2021-99","K:LCD-2021-99*1","Bonellia macrocarpa","Bonellia","Primulaceae","","","","06-05-2025","genus"
"Bonellia macrocarpa subsp. pungens","ALIVE","2021-219","K:LCD-2021-219*2","Bonellia macrocarpa subsp. pungens","Bonellia","Primulaceae","","N - Natural Source and Progeny","Mexico","16-06-2025","genus"
"Boscia longifolia","ALIVE","2007-883","K:LCD-2007-883*1","Boscia longifolia","Boscia","Capparaceae","","N - Natural Source and Progeny","Madagascar","12-01-2023","genus"
"Boscia longifolia","ALIVE","2007-1730","K:LCD-2007-1730*1","Boscia longifolia","Boscia","Capparaceae","","N - Natural Source and Progeny","Madagascar","13-02-2024","genus"
"Boucerosia frerei","ALIVE","1996-764","K:LCD-1996-764*5","Boucerosia frerei","Boucerosia","Apocynaceae","","N - Natural Source and Progeny","India","22-03-2023","genus"
"Boucerosia frerei","ALIVE","2001-3586","K:LCD-2001-3586*1","Boucerosia frerei","Boucerosia","Apocynaceae","","","","20-02-2024","genus"
"Boucerosia frerei","ALIVE","1996-764","K:LCD-1996-764*2","Boucerosia frerei","Boucerosia","Apocynaceae","","N - Natural Source and Progeny","India","20-02-2024","genus"
"Boucerosia frerei","ALIVE","1996-764","K:LCD-1996-764*1","Boucerosia frerei","Boucerosia","Apocynaceae","","N - Natural Source and Progeny","India","14-12-2022","genus"
"Boucerosia procumbens","ALIVE","2020-925","K:LCD-2020-925*1","Boucerosia procumbens","Boucerosia","Apocynaceae","","","","16-02-2024","genus"
