filename;sample_id;species;NCBITaxonomy_ID;Ionization_mode;garden;dataset;taxon_scientific_name;taxon_accepted_name;taxon_rank;observation_subject;is_wild;qfield_project;latitude;longitude;collection_date;instrument_model;extraction_method;sample_type
250415_ML_Metabo_DDA_sample_781_nr8.mzML;dbgi_002160;Iberis aurosica Chaix;NA;Positive;JBN;jbn;Iberis aurosica;Iberis aurosica Chaix;species;Leaf;1;jbn;47,000030;6,9348100;20240712110516;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_782_nr8.mzML;dbgi_003503;Iris graminea L.;NA;Positive;JBN;jbn;Iris graminea;Iris graminea L.;species;Leaf;0;jbn;46,999850;6,9345455;20240726144222;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_783_nr8.mzML;dbgi_003694;Ranunculus lingua L.;NA;Positive;JBN;jbn;Ranunculus lingua;Ranunculus lingua L.;species;Leaf;1;jbn;46,999540;6,9348020;20240823145631;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_784_nr8.mzML;dbgi_003293;Paliurus Mill.;NA;Positive;JBN;jbn;Paliurus;Paliurus Mill.;genus;Leaf;0;jbn;46,999866;6,9347386;20240725152039;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_785_nr8.mzML;dbgi_002121;Allium flavum L.;NA;Positive;JBN;jbn;Allium flavum;Allium flavum L.;species;Leaf;0;jbn;47,000010;6,9345690;20240722090037;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_786_nr8.mzML;dbgi_003801;Pyracantha fortuneana (Maxim.) H.L.Li;NA;Positive;JBN;jbn;Pyracantha fortuneana;Pyracantha fortuneana (Maxim.) H.L.Li;species;Leaf;0;jbn;46,999565;6,9346642;20240823145252;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_787_nr8.mzML;dbgi_003896;Festuca laevigata Gaudin;NA;Positive;JBN;jbn;Festuca laevigata;Festuca laevigata Gaudin;species;Leaf;0;jbn;46,999580;6,9344234;20240826161155;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_788_nr8.mzML;dbgi_003769;Dracocephalum officinale subsp. officinale;NA;Positive;JBN;jbn;Dracocephalum officinale subsp. officinale;Dracocephalum officinale subsp. officinale;subspecies;Leaf;0;jbn;46,999725;6,9344400;20240814131203;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_789_nr8.mzML;dbgi_003504;Euphorbia lathyris L.;NA;Positive;JBN;jbn;Euphorbia lathyris;Euphorbia lathyris L.;species;Leaf;1;jbn;46,999584;6,9338650;20240813144444;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_790_nr8.mzML;dbgi_003474;Cornus florida L.;NA;Positive;JBN;jbn;Cornus florida;Cornus florida L.;species;Leaf;0;jbn;46,999860;6,9349465;20240725101311;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_791_nr8.mzML;dbgi_002207;Potentilla erecta (L.) Raeusch.;NA;Positive;JBN;jbn;Potentilla erecta;Potentilla erecta (L.) Raeusch.;species;Leaf;0;jbn;47,000202;6,9349600;20240708120814;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_792_nr8.mzML;dbgi_003532;Polygonatum multiflorum (L.) All.;NA;Positive;JBN;jbn;Polygonatum multiflorum;Polygonatum multiflorum (L.) All.;species;Leaf;0;jbn;46,999447;6,9337820;20240813151644;LCMS – Synapt XS;MeOH/H2O;plant specimen
