"entity_ID","geo_entity","longitude","latitude","biome","mean_wc2.0_bio_30s_01","mean_wc2.0_bio_30s_12","species"
10727,"Kentucky",-85.287719,37.52749,"Temperate Broadleaf & Mixed Forests",13.02964,1223.24359,"Agrimonia gryposepala"
10740,"Louisiana",-92.019563,31.075817,"Temperate Conifer Forests",18.9771,1487.38504,"Agrimonia gryposepala"
10743,"Maine",-69.2276,45.395879,"Temperate Broadleaf & Mixed Forests",4.82744,1092.45351,"Agrimonia gryposepala"
10746,"Massachusetts",-71.809077,42.258629,"Temperate Broadleaf & Mixed Forests",8.5554,1172.60594,"Agrimonia gryposepala"
10753,"Michigan",-85.736208,44.88051,"Temperate Broadleaf & Mixed Forests",6.61606,820.74367,"Agrimonia gryposepala"
10768,"Mississippi",-89.673271,32.755826,"Temperate Grasslands, Savannas & Shrublands",17.36639,1477.52469,"Agrimonia gryposepala"
10769,"Missouri",-92.490496,38.374379,"Temperate Grasslands, Savannas & Shrublands",12.57132,1048.02334,"Agrimonia gryposepala"
10781,"New Brunswick",-66.370017,46.631012,"Temperate Broadleaf & Mixed Forests",4.06329,1137.55965,"Agrimonia gryposepala"
10782,"North Carolina",-79.380157,35.549589,"Temperate Broadleaf & Mixed Forests",14.98434,1260.68285,"Agrimonia gryposepala"
10786,"Nebraska",-99.792148,41.527905,"Temperate Grasslands, Savannas & Shrublands",9.43166,573.9458,"Agrimonia gryposepala"
10799,"Nova Scotia",-63.30227,45.148352,"Temperate Broadleaf & Mixed Forests",5.92323,1407.95507,"Agrimonia gryposepala"
10806,"New Hampshire",-71.579279,43.689995,"Temperate Broadleaf & Mixed Forests",6.17064,1120.01844,"Agrimonia gryposepala"
10807,"New Jersey",-74.662629,40.189201,"Temperate Conifer Forests",11.44868,1178.0509,"Agrimonia gryposepala"
10808,"New Mexico",-106.107688,34.423064,"Deserts & Xeric Shrublands",11.89248,362.24203,"Agrimonia gryposepala"
10810,"New York",-75.694587,42.99492,"Temperate Broadleaf & Mixed Forests",7.29212,1047.11574,"Agrimonia gryposepala"
