species;mean_wc2.0_bio_30s_01;mean_wc2.0_bio_30s_12;mean_MODCF_meanannual;mean_pet_he_yr;mean_ai_yr;mean_mn30_grd_slope;mean_mn30_grd;mean_3DGlobalVeg_L3C;mean_CHELSA_NFD
Aster pyrenaeus;12.258945;753.037161666667;56.36881;964.042138333333;0.79346;0.0446433333333333;512.070811666667;5.85495333333333;21.01294
Aster sibiricus;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Lotus maritimus;9.66966709302326;791.040018372093;61.2728954022989;835.950046511628;1.05334558139535;0.0699719540229885;550.104654137931;10.0725856321839;85.7315959770115
Astilbe japonica;9.19822842105263;1180.84570052632;67.8739684210526;803.180516842105;1.47603578947368;0.0560247368421053;365.340742105263;14.0112715789474;86.0069552631579
Astilboides tabularis;6.87202428571429;904.375292857143;60.1339114285714;777.971998571429;1.21504142857143;0.04828;347.25446;12.7949242857143;129.280251428571
Astragalus alopecurus;5.4558040625;602.7589884375;59.5309384375;794.97726375;0.8681471875;0.0709715625;813.63195;10.2300628125;148.906636875
Astragalus alpinus;2.3438064;717.203335466667;61.2676354666667;681.299019133333;1.21184093333333;0.0912043333333333;1027.71346666667;9.4600224;182.932183533333
Astragalus alpinus;2.3438064;717.203335466667;61.2676354666667;681.299019133333;1.21184093333333;0.0912043333333333;1027.71346666667;9.4600224;182.932183533333
Astragalus boeticus;15.7981587931034;540.98107;44.9800663793103;1099.70677448276;0.568566551724138;0.0704098275862069;462.479975172414;5.67488637931034;16.1042668965517
Astragalus depressus;11.6257552;777.7025006;55.5968508;945.0043824;0.9596352;0.0984094;700.0771202;9.7887324;61.976726
Astragalus depressus;11.6257552;777.7025006;55.5968508;945.0043824;0.9596352;0.0984094;700.0771202;9.7887324;61.976726
Astragalus frigidus;2.56123073529412;835.760407941176;64.4127201470588;644.117884477612;1.42799328358209;0.0945985294117647;828.444049852941;11.4146629411765;168.798216176471
Astragalus leontinus;6.38174571428571;820.919743809524;62.2750333333333;745.175461428571;1.31760047619048;0.0956061904761905;705.608046190476;11.5597895238095;130.023624285714
Astragalus leontinus;6.38174571428571;820.919743809524;62.2750333333333;745.175461428571;1.31760047619048;0.0956061904761905;705.608046190476;11.5597895238095;130.023624285714
Astragalus monspessulanus;11.5159491549296;766.357377464789;56.1471643661972;938.00508028169;0.915761267605634;0.0851970422535211;646.528963380282;9.87728112676056;63.4296738028169
Astragalus onobrychis;8.19587643678161;688.261814022988;60.9129356321839;831.190910574713;0.919607586206897;0.0641363218390805;591.518237471264;10.1398950574713;115.52271183908
Astragalus onobrychis;8.19587643678161;688.261814022988;60.9129356321839;831.190910574713;0.919607586206897;0.0641363218390805;591.518237471264;10.1398950574713;115.52271183908
Astragalus pelecinus;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Astragalus penduliflorus;8.65059654545455;852.553191636364;60.7303536363636;869.254297636364;1.11529127272727;0.0863467272727273;952.830242181818;10.16441;117.233916181818
Astragalus sempervirens;11.2069929032258;889.108950967742;58.6254135483871;874.4446;1.13418;0.0977103225806452;660.848389677419;10.5243412903226;56.0050664516129
Astrantia carniolica;8.61897;1087.59917181818;64.5006845454545;810.787535454545;1.36128;0.0984654545454546;694.974082727273;15.31309;107.938052727273
Astrantia major;8.18128142857143;848.114878673469;65.8525653061224;759.761411428571;1.20358989795918;0.0709287755102041;553.786924183673;11.7088647959184;106.993355
Astrantia major;8.18128142857143;848.114878673469;65.8525653061224;759.761411428571;1.20358989795918;0.0709287755102041;553.786924183673;11.7088647959184;106.993355
Astrantia minor;9.13189368421053;932.469021052632;61.0405952631579;801.490212105263;1.40297842105263;0.117800526315789;874.948235263158;11.2944821052632;91.1757189473684
Astrophytum asterias;15.377538;614.81374;46.165512;1402.27515;0.704182;0.034728;753.009244;6.166258;50.620884
Astrophytum myriostigma;20.44885;921.195704285714;49.0797814285714;1644.79764;0.5956;0.0510828571428571;1038.43840142857;9.59546;2.28826714285714
Astrophytum myriostigma;20.44885;921.195704285714;49.0797814285714;1644.79764;0.5956;0.0510828571428571;1038.43840142857;9.59546;2.28826714285714
Astrophytum myriostigma;20.44885;921.195704285714;49.0797814285714;1644.79764;0.5956;0.0510828571428571;1038.43840142857;9.59546;2.28826714285714
Astrophytum myriostigma;20.44885;921.195704285714;49.0797814285714;1644.79764;0.5956;0.0510828571428571;1038.43840142857;9.59546;2.28826714285714
Astrophytum myriostigma;20.44885;921.195704285714;49.0797814285714;1644.79764;0.5956;0.0510828571428571;1038.43840142857;9.59546;2.28826714285714
Astrophytum myriostigma;20.44885;921.195704285714;49.0797814285714;1644.79764;0.5956;0.0510828571428571;1038.43840142857;9.59546;2.28826714285714
Astrophytum myriostigma;20.44885;921.195704285714;49.0797814285714;1644.79764;0.5956;0.0510828571428571;1038.43840142857;9.59546;2.28826714285714
Astrophytum ornatum;20.8526866666667;1158.08226333333;49.7055766666667;1697.43719;0.734915;0.07176;1236.21131;11.83638;0.599266666666667
Astrophytum ornatum;20.8526866666667;1158.08226333333;49.7055766666667;1697.43719;0.734915;0.07176;1236.21131;11.83638;0.599266666666667
Astrophytum ornatum;20.8526866666667;1158.08226333333;49.7055766666667;1697.43719;0.734915;0.07176;1236.21131;11.83638;0.599266666666667
Astrophytum ornatum;20.8526866666667;1158.08226333333;49.7055766666667;1697.43719;0.734915;0.07176;1236.21131;11.83638;0.599266666666667
Asyneuma canescens;10.9118882051282;777.407177435897;60.8949679487179;946.936631025641;0.82364358974359;0.0599515384615385;520.930837948718;10.2269533333333;92.7471051282051
Athamanta cretensis;8.2248725;1029.60801472222;63.7723886111111;781.183040277778;1.45658444444444;0.115776666666667;837.6523075;13.7520630555556;112.372776666667
Athamanta cretensis;8.2248725;1029.60801472222;63.7723886111111;781.183040277778;1.45658444444444;0.115776666666667;837.6523075;13.7520630555556;112.372776666667
Athyrium distentifolium;6.62699283950617;944.634323950617;64.708897037037;733.831322716049;1.52276580246914;0.0965571604938272;791.007908518519;12.2555420987654;126.908127654321
Athyrium filix-femina;8.9159285078534;898.354328638743;62.4247021409922;865.175084435696;1.20585346456693;0.0671620626631854;612.706002819843;11.2196963968668;97.697412924282
Athyrium filix-femina;8.9159285078534;898.354328638743;62.4247021409922;865.175084435696;1.20585346456693;0.0671620626631854;612.706002819843;11.2196963968668;97.697412924282
Athyrium filix-femina;8.9159285078534;898.354328638743;62.4247021409922;865.175084435696;1.20585346456693;0.0671620626631854;612.706002819843;11.2196963968668;97.697412924282
Athyrium filix-femina;8.9159285078534;898.354328638743;62.4247021409922;865.175084435696;1.20585346456693;0.0671620626631854;612.706002819843;11.2196963968668;97.697412924282
Athyrium niponicum;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Atriplex hortensis;8.73481973958333;733.092602864583;58.9454655208333;873.087203333333;0.922755729166667;0.0492715625;568.417985104167;9.18977057291667;101.39459921875
Atriplex hortensis;8.73481973958333;733.092602864583;58.9454655208333;873.087203333333;0.922755729166667;0.0492715625;568.417985104167;9.18977057291667;101.39459921875
Atropa bella-donna;11.3477104907975;956.084269202454;61.028964601227;929.15048601227;1.0711745398773;0.0687232515337423;590.093477852761;10.1527971779141;75.0031595705521
Atropa bella-donna;11.3477104907975;956.084269202454;61.028964601227;929.15048601227;1.0711745398773;0.0687232515337423;590.093477852761;10.1527971779141;75.0031595705521
Atropa bella-donna;11.3477104907975;956.084269202454;61.028964601227;929.15048601227;1.0711745398773;0.0687232515337423;590.093477852761;10.1527971779141;75.0031595705521
Aubrieta deltoidea;11.2294005555556;762.920912962963;58.5165961111111;902.54118;0.931465925925926;0.067535;538.019577592593;7.81363777777778;58.3473046296296
Aubrieta erubescens;13.27603;596.794535;52.6006;1055.70696;0.59141;0.079075;414.45321;8.218955;34.527935
Aubrieta gracilis;11.8170428571429;782.899787142857;55.8789942857143;1002.10197428571;0.834217142857143;0.0962242857142857;590.958351428571;11.35276;65.7900628571429
Aurinia corymbosa;10.9262507692308;782.245966153846;57.7061823076923;981.799630769231;0.862953076923077;0.0915307692307692;728.022945384615;11.7610453846154;79.40545
Aurinia saxatilis;10.0368254166667;840.93845625;61.5145884375;868.755741145833;1.02268614583333;0.0620283333333333;465.5234453125;10.1883480208333;81.26492
Avena fatua;12.1042542962963;805.676737314815;54.5680679014599;1061.76230970093;0.876398990654206;0.0581860583941606;702.723750109489;8.71605430656934;68.5710883029197
Avena nuda;8.68119951612903;746.176942580645;64.7429017741935;827.88259483871;0.943837096774194;0.0509838709677419;569.697457258065;9.75832419354839;106.573346612903
Avena sativa;12.6982392778993;847.474921750547;54.904894595186;1094.06444525275;0.890544945054945;0.0554175054704595;708.049967724289;9.23358741794311;63.9671082932166
Avena sativa;12.6982392778993;847.474921750547;54.904894595186;1094.06444525275;0.890544945054945;0.0554175054704595;708.049967724289;9.23358741794311;63.9671082932166
Avena sterilis;14.0111579761905;729.776729801587;52.1290691372549;1107.17293150794;0.752318015873016;0.0651462352941176;653.950758196078;7.32550729411765;43.4319069411765
Avena strigosa;10.1634059459459;902.114720990991;63.58403;850.213424144144;1.16685117117117;0.0469567567567568;346.777986846847;9.79586324324324;70.0838575675676
Avenella flexuosa;8.50648513888889;998.198204027778;65.0380488175676;805.856128096886;1.43779349480969;0.0603365202702703;455.855286148649;10.7360944256757;94.4556385762712
Averrhoa carambola;23.327325177305;1862.54060248227;67.8432568309859;1448.06832241135;1.31694581560284;0.0475806338028169;408.836355422535;11.938424084507;4.50201802816901
Azorella trifurcata;9.91313523809524;754.38551047619;50.88812;1004.54210142857;0.864930476190476;0.0802852380952381;834.145876666667;6.64352285714286;66.3074447619048
Baccharis halimifolia;15.1581359701493;1099.83301089552;55.9596973134328;1199.02342060606;0.991746060606061;0.030944776119403;304.957600746269;11.6725170149254;34.6876702985075
Baldellia ranunculoides;11.1756760674157;824.420589662921;60.8349680898876;831.141461573034;1.10980640449438;0.0536270786516854;342.833926516854;7.51437325842697;46.3945540449438
Baldellia ranunculoides;11.1756760674157;824.420589662921;60.8349680898876;831.141461573034;1.10980640449438;0.0536270786516854;342.833926516854;7.51437325842697;46.3945540449438
Baldellia ranunculoides;11.1756760674157;824.420589662921;60.8349680898876;831.141461573034;1.10980640449438;0.0536270786516854;342.833926516854;7.51437325842697;46.3945540449438
Ballota nigra;10.5525532323232;758.108287878788;59.5094545454545;882.532577979798;0.944673434343434;0.0604958080808081;459.541836515151;9.23016686868687;76.0354851515151
Bambusa vulgaris;23.8718978894472;1864.37113040201;63.6955799497487;1455.47428285714;1.31966529100529;0.04903;413.332206482412;10.6791044723618;1.52508416243655
Baptisia australis;10.7490432352941;1052.71697441176;59.5468247058824;1080.42165147059;1.02229823529412;0.0221026470588235;311.479586764706;14.417515;94.4801302941176
Barbarea vulgaris;8.0422828;810.9287411;60.775329339934;840.832766366667;1.0715926;0.0559428712871287;610.848620957096;10.5380829372937;109.645257557756
Basella alba;21.6127943975904;1517.39411277108;63.5245144578313;1440.46782073171;1.08426152439024;0.049195843373494;585.159338855422;12.0245615662651;13.8550626506024
