"entity_ID","geo_entity","longitude","latitude","biome","mean_wc2.0_bio_30s_01","mean_wc2.0_bio_30s_12","species"
587,"Tasmania",146.59427,-41.936208,"Temperate Broadleaf & Mixed Forests",10.44801,1321.66836,"Acacia paradoxa"
10020,"Darling Downs, QLD, Australia",150.762854,-27.616649,"Tropical & Subtropical Grasslands, Savannas & Shrublands",18.85984,642.47444,"Acacia paradoxa"
10023,"Leichhardt, QLD, Australia",148.750577,-24.010518,"Tropical & Subtropical Grasslands, Savannas & Shrublands",21.32177,659.42446,"Acacia paradoxa"
10026,"Moreton, QLD, Australia",152.640329,-27.431177,"Temperate Broadleaf & Mixed Forests",19.13389,1085.51116,"Acacia paradoxa"
10064,"Grampians National Park, Australia",142.409763,-37.254378,"Temperate Broadleaf & Mixed Forests",12.41415,766.80453,"Acacia paradoxa"
10429,"Israel",35.023004,31.474278,"Deserts & Xeric Shrublands",19.51018,305.96063,"Acacia paradoxa"
10542,"Australia",134.49059,-25.73253,"Deserts & Xeric Shrublands",21.75157,479.63945,"Acacia paradoxa"
10911,"Victoria",144.307857,-36.857466,"Temperate Broadleaf & Mixed Forests",13.99256,679.77478,"Acacia paradoxa"
11015,"Flinders Ranges",138.607143,-31.357143,"Mediterranean Forests, Woodlands & Scrub",17.93839,269.65486,"Acacia paradoxa"
11016,"Eastern",140.068073,-31.591219,"Deserts & Xeric Shrublands",18.90547,199.10526,"Acacia paradoxa"
11017,"Eyre Peninsula",135.505331,-32.758355,"Mediterranean Forests, Woodlands & Scrub",17.36463,306.37932,"Acacia paradoxa"
11018,"Northern Lofty",138.519164,-33.723585,"Mediterranean Forests, Woodlands & Scrub",15.87515,447.64207,"Acacia paradoxa"
11019,"Murray",139.99765,-34.233163,"Mediterranean Forests, Woodlands & Scrub",16.75733,304.26455,"Acacia paradoxa"
11020,"Yorke Peninsula",137.632173,-34.435824,"Mediterranean Forests, Woodlands & Scrub",16.7841,408.10266,"Acacia paradoxa"
11021,"Southern Lofty",138.676999,-35.069078,"Mediterranean Forests, Woodlands & Scrub",15.374,653.93038,"Acacia paradoxa"
